Price,Close,High,Low,Open,Volume,Date
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,
Date,,,,,,
2020-05-18,1862.4107666015625,1873.1500598735752,1725.750089251042,1757.9218327652104,16769218,2020-05-18
2020-05-25,1818.163330078125,1865.775661332567,1774.5148952891261,1862.4109742203993,18770893,2020-05-25
2020-06-01,1888.1297607421875,1935.8342475569846,1826.229133606459,1834.4334060182855,17513340,2020-06-01
2020-06-08,1885.59033203125,1971.1098739350944,1859.2410677689845,1921.4160860720497,16147832,2020-06-08
2020-06-15,1890.3056640625,1932.27960729014,1849.949658305079,1885.2207177275259,14875224,2020-06-15
2020-06-22,1958.95263671875,1971.110191374163,1857.6234296522218,1895.2982609366952,19307672,2020-06-22
2020-06-29,2033.6546630859375,2038.6010188832875,1918.457661575887,1948.921064764612,16595439,2020-06-29
2020-07-06,2054.641845703125,2128.9281480743975,2011.7895290058627,2038.6010622508857,26668097,2020-07-06
2020-07-13,2034.6715087890625,2156.9413290945736,2001.6193645476862,2052.468817226727,24600815,2020-07-13
2020-07-20,1999.0673828125,2074.354409884793,1969.1380748748068,2039.4676502906625,14410332,2020-07-20
2020-07-27,2113.967041015625,2184.945426531262,2004.7198601782804,2006.109774571748,30253016,2020-07-27
2020-08-03,2126.89306640625,2157.1467741019387,2061.752377596629,2122.352544421114,18654444,2020-08-03
2020-08-10,2077.597412109375,2154.3671001234125,2069.211777063658,2147.8808335854064,14085614,2020-08-10
2020-08-17,2083.57421875,2121.0091521786667,2073.9837199055924,2096.917305102806,13832467,2020-08-17
2020-08-24,2074.261474609375,2119.4800576364673,2053.783316804745,2085.427162892479,12970063,2020-08-24
2020-08-31,2120.824462890625,2153.672733621869,2064.4865442656874,2075.6058613802243,21598648,2020-08-31
2020-09-07,2199.863525390625,2215.013453748747,2115.773720109759,2121.008972869449,22395171,2020-09-07
2020-09-14,2270.10107421875,2351.7354814600008,2207.045463426781,2209.130335307508,26916336,2020-09-14
2020-09-21,2244.526611328125,2367.4876672350147,2133.611480929672,2284.0927983304546,36253677,2020-09-21
2020-09-28,2338.2529296875,2353.588363679707,2192.358294671727,2260.9274044797185,17870480,2020-09-28
2020-10-05,2606.506103515625,2673.268362101445,2412.010863257833,2427.716848771503,64493147,2020-10-05
2020-10-12,2560.49951171875,2645.376787460026,2526.8635490446286,2608.8684717033925,25132145,2020-10-12
2020-10-19,2500.2294921875,2581.374305971586,2454.9112504221252,2581.374305971586,20068995,2020-10-19
2020-10-26,2479.80322265625,2529.4018952222073,2419.6889481262233,2503.16014531805,16312670,2020-10-26
2020-11-02,2519.4453125,2532.845516460804,2419.503232165034,2475.2902739159663,17045316,2020-11-02
2020-11-09,2484.92138671875,2553.4570508716874,2452.9565547003526,2541.452915815126,16933470,2020-11-09
2020-11-16,2475.52294921875,2507.859918483049,2426.017188473221,2472.359135187341,12600007,2020-11-16
2020-11-23,2493.5751953125,2552.5262664946285,2479.9425811914634,2503.206582891196,18557090,2020-11-23
2020-11-30,2538.149658203125,2581.2809895269966,2442.2088054443093,2493.575685865044,11653124,2020-11-30
2020-12-07,2590.3076171875,2642.791124704494,2518.235543673942,2526.471092807289,13857423,2020-12-07
